Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A_1 Spectral Count	A_2 Spectral Count	A_3 Spectral Count	B_1 Spectral Count	B_2 Spectral Count	B_3 Spectral Count	C_1 Spectral Count	C_2 Spectral Count	C_3 Spectral Count	D_1 Spectral Count	D_2 Spectral Count	D_3 Spectral Count	E_1 Spectral Count	E_2 Spectral Count	E_3 Spectral Count	A_1 Unique Spectral Count	A_2 Unique Spectral Count	A_3 Unique Spectral Count	B_1 Unique Spectral Count	B_2 Unique Spectral Count	B_3 Unique Spectral Count	C_1 Unique Spectral Count	C_2 Unique Spectral Count	C_3 Unique Spectral Count	D_1 Unique Spectral Count	D_2 Unique Spectral Count	D_3 Unique Spectral Count	E_1 Unique Spectral Count	E_2 Unique Spectral Count	E_3 Unique Spectral Count	A_1 Total Spectral Count	A_2 Total Spectral Count	A_3 Total Spectral Count	B_1 Total Spectral Count	B_2 Total Spectral Count	B_3 Total Spectral Count	C_1 Total Spectral Count	C_2 Total Spectral Count	C_3 Total Spectral Count	D_1 Total Spectral Count	D_2 Total Spectral Count	D_3 Total Spectral Count	E_1 Total Spectral Count	E_2 Total Spectral Count	E_3 Total Spectral Count	A_1 Intensity	A_2 Intensity	A_3 Intensity	B_1 Intensity	B_2 Intensity	B_3 Intensity	C_1 Intensity	C_2 Intensity	C_3 Intensity	D_1 Intensity	D_2 Intensity	D_3 Intensity	E_1 Intensity	E_2 Intensity	E_3 Intensity	A_1 MaxLFQ Intensity	A_2 MaxLFQ Intensity	A_3 MaxLFQ Intensity	B_1 MaxLFQ Intensity	B_2 MaxLFQ Intensity	B_3 MaxLFQ Intensity	C_1 MaxLFQ Intensity	C_2 MaxLFQ Intensity	C_3 MaxLFQ Intensity	D_1 MaxLFQ Intensity	D_2 MaxLFQ Intensity	D_3 MaxLFQ Intensity	E_1 MaxLFQ Intensity	E_2 MaxLFQ Intensity	E_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|O14467|MBF1_YEAST	O14467	MBF1_YEAST	MBF1	151	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Multiprotein-bridging factor 1	1.0	0.999	5	75	75	75	6	5	6	6	5	5	4	5	4	4	5	6	5	5	4	6	5	6	6	5	5	4	5	4	4	5	6	5	5	4	6	5	6	6	5	5	4	5	4	4	5	6	5	5	4	3.2647604E7	3.20333E7	3.1808978E7	3.202986E7	3.267687E7	2.9611418E7	2.9975668E7	3.1333794E7	2.9711108E7	3.7697304E7	2.9433866E7	2.6284348E7	2.9718978E7	2.7878432E7	2.8624576E7	1.1921838E7	1.1405934E7	1.133409E7	1.1495974E7	1.1688363E7	1.1403341E7	1.0843513E7	1.2154112E7	1.12295E7	1.3823722E7	9575218.0	1.0114768E7	1.2067171E7	1.1469331E7	1.1717903E7	
sp|O43137|YB085_YEAST	O43137	YB085_YEAST	YBR085C-A	85	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uncharacterized protein YBR085C-A	1.0	0.999	2	9	9	9	2	1	0	1	1	2	1	1	0	0	0	0	0	0	0	2	1	0	1	1	2	1	1	0	0	0	0	0	0	0	2	1	0	1	1	2	1	1	0	0	0	0	0	0	0	479556.8	224544.48	297567.44	270127.0	385371.4	436267.12	894738.1	459711.97	0.0	361898.75	659189.3	1036047.9	0.0	469068.38	608325.5	364692.88	0.0	0.0	0.0	247409.69	361658.28	796359.9	0.0	0.0	0.0	0.0	808396.7	0.0	0.0	0.0	
sp|O74700|TIM9_YEAST	O74700	TIM9_YEAST	TIM9	87	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial import inner membrane translocase subunit TIM9	1.0	0.999	3	45	45	45	3	3	3	3	3	3	2	3	3	2	4	3	2	4	4	3	3	3	3	3	3	2	3	3	2	4	3	2	4	4	3	3	3	3	3	3	2	3	3	2	4	3	2	4	4	1.518861E7	1.5716862E7	1.6050164E7	1.5654332E7	1.5503298E7	1.5378512E7	5804307.5	1.609578E7	5479480.5	8632960.0	1.899257E7	1.6766161E7	1.0040576E7	1.6523222E7	1.5675531E7	7071550.5	6903034.5	7470250.0	6849572.0	7613203.0	6171127.0	5788620.5	6991603.5	3153413.2	8161969.0	9898316.0	9658878.0	1.0087637E7	8610159.0	7578385.5	
sp|O75012|MRP10_YEAST	O75012	MRP10_YEAST	MRP10	95	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Small ribosomal subunit protein mS37	0.7563	0.9912	1	3	3	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0.0	2349747.8	2236158.0	0.0	0.0	2630156.0	2059362.1	0.0	0.0	1662920.9	1687473.9	1498043.9	0.0	0.0	1219792.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O94742|SEM1_YEAST	O94742	SEM1_YEAST	SEM1	89	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	26S proteasome complex subunit SEM1	0.965	0.999	1	15	15	15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1746957.1	1765853.1	1824955.6	1916726.2	1776880.4	1749216.1	1453156.0	1886364.1	1582002.0	2416454.8	2178095.8	2178221.5	1971469.9	2405889.8	2202439.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P00044|CYC1_YEAST	P00044	CYC1_YEAST	CYC1	109	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytochrome c isoform 1	1.0	0.999	8	149	116	155	12	11	13	12	12	14	9	8	7	8	8	10	8	8	9	9	9	10	11	10	11	7	6	5	6	6	7	6	6	7	12	11	13	12	12	14	9	9	8	9	9	10	9	8	10	9.527719E7	1.0026533E8	9.8281624E7	9.744431E7	9.874606E7	9.621025E7	1.3213383E8	1.1561078E8	1.11428056E8	1.15285064E8	1.04037416E8	1.2722338E8	1.2087469E8	1.1223846E8	1.0864556E8	5.211981E7	5.3285148E7	5.6129428E7	5.736155E7	5.486862E7	5.145129E7	5.7722196E7	5.165735E7	4.870804E7	5.224947E7	4.610078E7	4.9729784E7	5.080994E7	4.957223E7	5.0444384E7	
sp|P00127|QCR6_YEAST	P00127	QCR6_YEAST	QCR6	147	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytochrome b-c1 complex subunit 6, mitochondrial	1.0	0.999	2	35	35	35	3	3	3	3	2	2	3	2	2	2	2	2	2	2	2	3	3	3	3	2	2	3	2	2	2	2	2	2	2	2	3	3	3	3	2	2	3	2	2	2	2	2	2	2	2	2.0956792E7	1.6494164E7	2.0071782E7	2.1503582E7	2.039063E7	1.8485978E7	1.8844928E7	2.0393888E7	1.3330409E7	2.0091448E7	1.847293E7	1.5387755E7	1.8433962E7	1.890669E7	1.8652724E7	1.5520988E7	1.210474E7	1.4783136E7	1.5887561E7	1.5065712E7	1.3556811E7	1.374307E7	1.547175E7	1.060922E7	1.5466388E7	1.3776873E7	1.1941497E7	1.4350128E7	1.5411283E7	1.4296268E7	
sp|P00128|QCR7_YEAST	P00128	QCR7_YEAST	QCR7	127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytochrome b-c1 complex subunit 7, mitochondrial	1.0	0.999	8	100	100	100	12	8	8	8	10	7	8	5	6	4	5	4	5	5	5	12	8	8	8	10	7	8	5	6	4	5	4	5	5	5	12	8	8	8	10	7	8	5	6	4	5	4	5	5	5	5.883533E7	5.8544268E7	5.6770332E7	5.795852E7	5.5317364E7	6.2123628E7	6.17685E7	5.8035696E7	6.35337E7	6.072842E7	5.2894852E7	4.4720816E7	5.2249188E7	5.1188644E7	5.2307684E7	1.3904513E7	1.4219437E7	1.3753266E7	1.3953784E7	1.3305006E7	1.4891867E7	1.5187782E7	1.5407401E7	1.7566698E7	1.5900417E7	1.4286974E7	1.2327403E7	1.4429986E7	1.3974109E7	1.429032E7	
sp|P00167|CYB5_HUMAN	P00167	CYB5_HUMAN	CYB5A	134	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b5	1.0	0.999	5	85	85	85	2	3	3	2	2	3	6	5	5	9	8	8	10	8	11	2	3	3	2	2	3	6	5	5	9	8	8	10	8	11	2	3	3	2	2	3	6	5	5	9	8	8	10	8	11	1.1758117E7	1.1781718E7	1.3076854E7	1.690274E7	1.1897827E7	3.2988062E7	6.022551E7	5.6891068E7	6.873124E7	2.4974138E8	2.765278E8	2.6209266E8	4.5248774E8	3.452401E8	2.969269E8	5480229.0	4635684.0	5672741.5	5469170.5	6775749.5	1.4167361E7	2.6827102E7	2.5506698E7	2.7527516E7	1.0575358E8	1.1857801E8	1.1234681E8	2.0234078E8	1.4769062E8	1.2553389E8	
sp|P00175|CYB2_YEAST	P00175	CYB2_YEAST	CYB2	591	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	L-lactate dehydrogenase (cytochrome)	1.0	0.999	18	176	176	176	17	7	9	13	17	12	15	10	8	10	10	13	10	11	14	17	7	9	13	17	12	15	10	8	10	10	13	10	11	14	17	7	9	13	17	12	15	10	8	10	10	13	10	11	14	5.1593104E7	4.6509676E7	5.054198E7	5.0054596E7	5.4221104E7	5.0347696E7	6.1618804E7	5.1258924E7	5.004039E7	6.439779E7	6.099109E7	5.8410028E7	6.8661064E7	6.5139308E7	6.3864732E7	1.2116509E7	1.2631168E7	1.3346313E7	1.3145046E7	1.287419E7	1.2449445E7	1.3035037E7	1.2346526E7	1.1510794E7	1.2632671E7	1.3205704E7	1.3132748E7	1.3258011E7	1.3119015E7	1.3873193E7	
sp|P00330|ADH1_YEAST	P00330	ADH1_YEAST	ADH1	348	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Alcohol dehydrogenase 1	1.0	0.999	19	199	196	347	13	16	13	15	12	13	14	10	11	15	12	11	12	14	18	13	16	13	15	12	13	14	10	11	15	12	11	11	14	16	24	27	24	25	22	24	24	19	19	24	22	22	21	23	27	9.945753E7	8.906181E7	9.308966E7	1.0044053E8	1.06644616E8	9.9369464E7	1.1531089E8	8.284284E7	7.653754E7	1.0280313E8	1.1020362E8	1.254404E8	1.3594429E8	1.1231144E8	1.2233075E8	2.5543444E7	2.5590746E7	2.5348248E7	2.5970572E7	2.5493718E7	2.7280818E7	2.5641434E7	2.4114938E7	2.4340184E7	2.287913E7	2.2831304E7	2.3034926E7	2.382283E7	2.4174694E7	2.648083E7	
sp|P00331|ADH2_YEAST	P00331	ADH2_YEAST	ADH2	348	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Alcohol dehydrogenase 2	1.0	0.999	21	524	366	524	40	37	34	34	35	38	40	32	31	31	35	36	32	33	36	28	25	22	23	24	26	29	22	22	22	25	25	23	24	26	40	37	34	34	35	38	40	32	31	31	35	36	32	33	36	1.3106376E9	1.1668108E9	1.2403503E9	1.306352E9	1.1886798E9	1.165891E9	1.6027244E9	1.365408E9	1.2205527E9	1.4367965E9	1.2757147E9	1.6085812E9	1.7102312E9	1.6513009E9	1.6742668E9	2.2473646E8	2.3126555E8	2.2855563E8	2.2038888E8	2.1644395E8	2.3043885E8	2.359961E8	2.2860605E8	2.0329747E8	2.3184779E8	2.1917915E8	2.2331066E8	2.3109632E8	2.383417E8	2.3743517E8	
sp|P00358|G3P2_YEAST	P00358	G3P2_YEAST	TDH2	332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase 2	1.0	0.9988	17	19	19	443	3	2	1	3	2	2	1	1	1	0	0	1	0	1	1	3	2	1	3	2	2	1	1	1	0	0	1	0	1	1	39	32	27	34	30	37	35	28	24	26	26	27	25	26	27	7482877.5	7338954.5	7344267.0	8037037.0	7503832.0	8145330.5	7995669.5	8546722.0	7113407.0	7697140.0	7747729.5	6880009.5	8424604.0	8371799.5	7135326.0	4249764.0	4182984.2	4194049.5	4925684.0	4397027.0	4819384.5	4166111.8	4224555.0	3226566.8	4863540.0	4405865.0	4272007.0	5347765.5	5113338.5	4329235.0	
sp|P00359|G3P3_YEAST	P00359	G3P3_YEAST	TDH3	332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase 3	1.0	0.999	19	532	98	532	48	35	31	39	36	44	41	35	30	34	32	32	31	31	33	12	5	5	8	8	9	7	7	6	6	4	5	5	5	6	48	35	31	39	36	44	41	35	30	34	32	32	31	31	33	1.2718812E9	1.2876552E9	1.2981443E9	1.251787E9	1.2375894E9	1.341331E9	1.6258141E9	1.5513082E9	1.5718227E9	1.6185665E9	1.3784477E9	1.2966614E9	1.4732561E9	1.4757791E9	1.3432618E9	2.744934E8	2.6731562E8	2.7488336E8	2.795105E8	2.601063E8	2.8378442E8	2.8594288E8	2.8506634E8	2.5578082E8	2.9446326E8	2.5975403E8	2.5718533E8	2.9578506E8	3.0339338E8	2.982847E8	
sp|P00360|G3P1_YEAST	P00360	G3P1_YEAST	TDH1	332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase 1	1.0	0.999	20	137	135	385	9	8	5	6	11	7	13	9	6	10	9	13	10	10	11	8	8	5	6	11	7	12	9	6	10	9	13	10	10	11	29	25	22	25	28	28	32	26	22	25	26	27	22	23	25	7.84944E7	7.187065E7	7.2047096E7	7.172177E7	7.703158E7	6.8047816E7	9.252423E7	7.3093736E7	4.949911E7	6.6549572E7	7.029907E7	8.141558E7	9.179452E7	7.474515E7	8.016948E7	2.4912802E7	2.599718E7	2.5044062E7	2.3986428E7	2.4010074E7	2.4000536E7	2.8252046E7	2.5637724E7	1.6453084E7	2.3472258E7	2.3337236E7	2.5208126E7	2.7263806E7	2.5492856E7	2.538348E7	
sp|P00401|COX1_YEAST	P00401	COX1_YEAST	COX1	534	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 1	0.9817	0.9987	2	8	2	8	2	1	1	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0	1	0	2	1	0	0	0	0	0	0	0	1207649.1	1047185.6	1035981.4	984602.6	1037822.3	1238866.6	1670290.4	1119784.9	0.0	83749.33	0.0	0.0	0.0	0.0	0.0	684396.8	0.0	0.0	0.0	0.0	0.0	1908900.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P00410|COX2_YEAST	P00410	COX2_YEAST	COX2	251	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 2	1.0	0.999	5	57	57	57	5	3	3	3	7	6	5	3	1	3	4	3	4	3	4	5	3	3	3	7	6	5	3	1	3	4	3	4	3	4	5	3	3	3	7	6	5	3	1	3	4	3	4	3	4	1.0924986E7	8695840.0	9882860.0	1.1810268E7	1.1429912E7	1.1851883E7	1.3524618E7	1.0057925E7	1.0476013E7	1.0399981E7	1.3303666E7	1.2098088E7	1.3500158E7	1.1371546E7	1.467119E7	6639669.5	2658652.8	2708847.0	6478634.0	5836851.5	6296536.5	1.5840319E7	6889260.5	0.0	7576396.5	1.0777443E7	1.6920588E7	1.7850384E7	1.2207571E7	1.6367071E7	
sp|P00424|COX5A_YEAST	P00424	COX5A_YEAST	COX5A	153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 5A, mitochondrial	1.0	0.999	4	86	70	86	6	6	5	6	7	5	4	7	5	7	6	8	5	5	4	5	5	4	5	6	4	3	6	4	5	5	7	4	4	3	6	6	5	6	7	5	4	7	5	7	6	8	5	5	4	1.5381027E7	1.332462E7	1.4913931E7	1.637874E7	1.9069788E7	1.3827924E7	1.3145671E7	1.2811355E7	1.3001969E7	1.5075657E7	1.7096762E7	1.6516982E7	1.8854092E7	8945102.0	7951751.0	6535785.0	6123431.5	6492294.0	5511765.5	8120588.5	4819647.0	5652990.5	5467958.5	3529673.8	6538065.5	7977976.0	7580477.0	8789635.0	5590416.0	7495365.0	
